X,temp,u,rho,X_CH4,X_CH3,X_CH2,X_CH,X_CH2O,X_HCO,X_CO2,X_CO,X_H2,X_H,X_O2,X_O,X_OH,X_HO2,X_H2O2,X_H2O,X_N2
0.0157265625,1363.81031870841,4.524792916355378,0.22676833521083273,0.0035396215413921917,0.0005492910533379717,7.053101575951607e-06,2.4364148651132173e-07,0.00032192418659808926,8.217110293887423e-05,0.003708099048122626,0.016926599645147502,0.04732231606741665,0.01027124573780395,0.09563163069618859,0.00283987640035959,0.0029819585340949977,7.284387764568762e-05,5.124299439964015e-05,0.1453768523422868,0.6703170300292045
0.015727880859375,1368.104691928736,4.539156748311574,0.22605074327900282,0.0034121590959979736,0.0005384813277320978,7.032893563153307e-06,2.4651883171781924e-07,0.00031650333103729365,8.1459867304875e-05,0.003762852436610227,0.01702457035657471,0.04685454194329923,0.010369941874339476,0.09498214030152984,0.002898075355375137,0.003036119156083104,7.190988663286445e-05,5.025666141588142e-05,0.14625511302804137,0.670338595965631
0.01572919921875,1372.3377537947727,4.553317474911447,0.2253477299725829,0.0032879807223618273,0.0005275103829534267,7.005972346833625e-06,2.4917367109353984e-07,0.00031096839169965417,8.069124273299004e-05,0.003817865790626891,0.017119237970672815,0.046389570703552,0.01046787536149043,0.09433733851543345,0.0029566780249351576,0.003090722063282109,7.098785707225461e-05,4.929362966490167e-05,0.14712550703508798,0.6703605171624162
0.015730517578125,1376.5098304849162,4.567275982824936,0.22465902228688941,0.0031670702957867663,0.0005164004683947598,6.972476318830528e-06,2.5159947236312847e-07,0.0003053294726108806,7.986736853147862e-05,0.003873131394211365,0.017210588190993484,0.045927464356174695,0.010565013770750394,0.09369733730902206,0.003015657451438123,0.0031457486412914456,7.007801766181655e-05,4.835375804885197e-05,0.14798794049707026,0.6703827949322224
0.0157318359375,1380.6212892960662,4.581033297368475,0.22398434811755594,0.0030494080463464176,0.0005051735052456674,6.932563013265211e-06,2.537904603517314e-07,0.00029959670325972667,7.899048537769125e-05,0.0039286415540491565,0.017298610884999777,0.04546828483250377,0.01066132528633044,0.09306224419881637,0.0030749859519516053,0.0032011798702897298,6.91805797341763e-05,4.7436892038321036e-05,0.1488423247204607,0.6704054301351229
0.015733154296875,1384.6725373904872,4.594590578571565,0.22332343639092042,0.002934970708291751,0.0004938510186837358,6.886407967409924e-06,2.557416416080167e-07,0.00029378020671010313,7.806292601506824e-05,0.0039843886054424646,0.017383300033772475,0.045012093874687985,0.010756778745967274,0.09243216220511682,0.0031346351727486546,0.0032569963546653976,6.829573702109877e-05,4.654286368276883e-05,0.14968857620348813,0.6704284231940972
0.015734472656249998,1388.664020463846,4.607949116976194,0.2226760171972843,0.0028237316747447513,0.0004824540744508366,6.834203504008744e-06,2.574488240638102e-07,0.00028789006834748773,7.708710571348335e-05,0.004040364918014872,0.017464653670921513,0.04455895292264684,0.010851343679981413,0.09180718981841439,0.003194576146460031,0.003313178353734382,6.742366549136398e-05,4.5671491667719284e-05,0.15052661664654032,0.6704517741105427
0.015735791015625,1392.5962213397952,4.621110329186447,0.2220418219265276,0.00271566115691622,0.0004710032200165873,6.776157446637926e-06,2.589086316304395e-07,0.0002819363054078618,7.60655125447197e-05,0.004096562901140089,0.017542673811122244,0.044108923000956264,0.010944990348485594,0.09118742097376091,0.0032547793515727377,0.0033697058134243424,6.656452325948589e-05,4.482258141851492e-05,0.15135637295413637,0.6704754824797597
0.015737109375,1396.4696584970575,4.634075753187612,0.22142058340550502,0.002610726347081762,0.0004595184304892281,6.712491779907948e-06,2.6011851368045834e-07,0.00027592883743044583,7.500069752583472e-05,0.004152975009089281,0.01761736636874634,0.04366206460607189,0.011037689776660494,0.09057294503296505,0.0033152147739949666,0.0034265583988034518,6.571845056246865e-05,4.39959252500428e-05,0.15217777722864975,0.6704995475063853
0.015738427734374998,1400.2848845352225,4.646847043454952,0.22081203603664623,0.0025088915845601976,0.00044801905939326816,6.643441266389718e-06,2.6107674941183257e-07,0.00026987745776785234,7.389526468374611e-05,0.004209593745892698,0.017688741067096912,0.043218437594296714,0.01112941378802484,0.08996384677446062,0.003375851970395233,0.0034837155273272843,6.488556980164613e-05,4.319130256153169e-05,0.15299076675598267,0.670523968019739
